t:18.88000000000015 fi:1.005503329567387 vz:2.7549592953624056 wy:0.9617976253447736 ngpu:3761.2986652169443 k2:3672 k1:3672
t:18.700000000000124 fi:1.0037312376917435 vz:2.846154599440206 wy:1.0054372905355629 ngpu:3922.2373142074966 k2:3748 k1:3748
t:18.780000000000136 fi:1.0003068568993083 vz:2.7989206356735488 wy:0.9838909402378956 ngpu:3843.716496934509 k2:3712 k1:3712
t:18.790000000000138 fi:1.000926373113581 vz:2.79454305497084 wy:0.9816409439616072 ngpu:3834.7656926835434 k2:3708 k1:3708
t:18.760000000000133 fi:1.0082178380568927 vz:2.819982379673326 wy:0.9916041669390925 ngpu:3862.4415667101466 k2:3724 k1:3724
t:18.75000000000013 fi:1.0075290206137677 vz:2.824360872555387 wy:0.9938885320426527 ngpu:3871.927764915852 k2:3728 k1:3728
t:18.890000000000153 fi:1.0059038909551277 vz:2.7505453070813273 wy:0.9596388160999889 ngpu:3753.8546195686768 k2:3668 k1:3668
t:18.970000000000166 fi:1.0083653723231216 vz:2.715168238525477 wy:0.9427037214020604 ngpu:3698.730085621475 k2:3636 k1:3636
t:19.00000000000017 fi:1.008958163028101 vz:2.701884198832823 wy:0.936506404095807 ngpu:3679.878824066225 k2:3624 k1:3624
t:18.850000000000147 fi:1.0041739977832818 vz:2.7681852896490273 wy:0.9683296743160765 ngpu:3784.4498126978033 k2:3684 k1:3684
t:18.830000000000144 fi:1.0031797918990295 vz:2.776986908693871 wy:0.9727304334524653 ngpu:3800.6022476147064 k2:3692 k1:3692
t:18.81000000000014 fi:1.0020976849316834 vz:2.7857735651230557 wy:0.9771676655244392 ngpu:3817.3639431121346 k2:3700 k1:3700
t:18.87000000000015 fi:1.005081600651067 vz:2.7593707766440683 wy:0.963965720651122 ngpu:3768.8768645247856 k2:3676 k1:3676
t:19.110000000000188 fi:1.000461537097003 vz:2.639195857264646 wy:0.9097564305732893 ngpu:3359.0558307507204 k2:3576 k1:3576
t:19.06000000000018 fi:1.0004517490543043 vz:2.6628578929027316 wy:0.9208666729062578 ngpu:3495.2095446824196 k2:3596 k1:3596
t:18.910000000000156 fi:1.0066421497468538 vz:2.7417106910941293 wy:0.955349120345922 ngpu:3739.3552560699286 k2:3660 k1:3660
